"","idealpoint","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","domestic9"
"Libya",-1.679719,-7,-7,0,7,2,4,0,2,1,1,1,0,7170.37923370663,7432.21243925484,5337264,3,3,76,0.0018609,0
"Sri Lanka",-0.8374038,5,5,6,1,142,0,0,9,1,2,1,2,854.926725152164,887.006975978968,19102000,4,5,115,0.001785,3125
"Latvia",1.23398,8,8,8,0,150,7,2,13,1,2,1,2,3351.46905779679,3278.89621125035,2367550,1,1,5,0.0003264,250
"Morocco",-0.5739699,-6,-6,0,6,2,4,1,3,1,1,0,0,1265.39503823459,1289.50605509014,28950553,2,3,198,0.0038074,250
"Moldova",0.9388984,7,7,7,0,150,5,2,11,2,2,1,2,354.001278975189,313.680801510564,3639592,2,2,10,0.0004891,0
"Mexico",-0.4852971,8,8,8,0,419,2,1,11,1,2,1,2,6649.71653421574,6581.56579193561,102808590,3,3,193,0.0133092,4062
"Macedonia",1.000234,6,6,6,0,150,7,2,14,1,2,1,2,1875.12713159241,1747.88701423188,2012051,2,2,16,0.0003058,0
"Mali",-0.7380991,6,6,6,0,2,6,2,13,1,2,1,2,240.378056548121,258.800140242366,11046926,1,2,7,0.0004825,0
"Mozambique",-0.6865054,5,5,5,0,2,2,1,9,2,2,0,2,274.656255626148,235.838306070342,18264536,3,3,6,0.0009614,562
"Mauritania",-0.8616504,-6,-6,0,6,2,6,0,6,2,1,1,0,477.112988098465,477.699556488553,2711421,3,2,16,0.0002542,0
"Malawi",-0.4609185,6,6,6,0,2,7,1,10,1,2,1,1,155.764358225033,262.329152247573,11193230,2,2,5,0.0004562,0
"Malaysia",-0.6997503,3,3,4,1,142,2,1,5,2,2,1,1,4004.55719127475,4166.54229424469,23420751,2,2,96,0.0035902,0
"Namibia",-0.7113399,6,6,6,0,2,5,2,12,2,2,2,2,2059.40901467159,2059.37477753041,1897953,3,2,9,0.0001581,0
"Niger",-0.8106488,5,5,6,1,2,6,1,11,1,1,0,2,160.218342317408,157.150739093597,11224523,2,2,5,0.0004439,0
"Nigeria",-0.738027,4,4,4,0,2,1,1,5,1,2,0,1,377.500269346768,377.500257374146,122876723,3,3,76,0.0067953,1625
"Nicaragua",-0.086753,8,8,8,0,419,5,1,13,1,2,1,2,1016.02155153669,1001.69914539868,5026792,2,2,16,0.0003955,0
"Nepal",-0.6906221,6,6,7,1,142,1,1,8,1,2,0,2,231.432967570545,247.167717665343,23740145,4,4,50,0.0012075,0
"New Zealand",0.8064349,10,10,10,0,9,8,2,14,2,3,3,2,13641.0560259004,13939.6798709077,3857700,1,1,9,0.0008111,0
"Pakistan",-0.8052908,-6,-6,0,6,142,1,2,6,0,1,0,0,534.915837003883,534.414656746788,138250487,3,4,612,0.0130623,312
